jwoodcock  sshd         231-52-77-204.sp Thu Aug 28 14:01 - 14:16  (00:15)
jwoodcock  pts/4        thinclient       Mon Aug 25 15:14 - 15:21  (00:06)
jwoodcock  sshd         thinclient       Mon Aug 25 15:14 - 15:21  (00:07)
jwoodcock  pts/4        thinclient       Mon Aug 25 14:15 - 14:15  (00:00)
jwoodcock  sshd         thinclient       Mon Aug 25 14:15 - 14:15  (00:00)
jwoodcock  dtlocal      :11              Fri Aug 22 15:41 - down  (10+22:34)
jwoodcock  dtlocal      :11              Fri Aug 22 14:16 - 15:41  (01:24)
jwoodcock  dtlocal      :18              Thu Aug 21 15:29 - down  (11+22:47)
jwoodcock  dtlocal      :18              Thu Aug 21 14:58 - 15:29  (00:30)
jwoodcock  dtlocal      :18              Thu Aug 21 14:53 - 14:58  (00:04)
jwoodcock  dtlocal      :28              Thu Aug 21 14:26 - down  (11+23:49)
jwoodcock  dtlocal      :11              Mon Jul 14 17:25 - down  (17+19:11)
jwoodcock  dtlocal      :23              Fri Jun  6 13:41 - down  (16+20:22)
jwoodcock  dtlocal      :29              Mon May 19 11:57 - down  (6+23:22)
jwoodcock  pts/3        thinclient       Sun Mar 16 23:39 - 23:41  (00:01)
jwoodcock  sshd         thinclient       Sun Mar 16 23:39 - 23:41  (00:01)
jwoodcock  dtlocal      :13              Thu Feb  6 12:07 - down  (1+21:46)
jwoodcock  pts/1        c-50-137-201-171 Mon Jan 20 20:04 - 20:05  (00:00)
jwoodcock  sshd         c-50-137-201-171 Mon Jan 20 20:04 - 20:05  (00:00)
jwoodcock  dtlocal      :27              Mon Dec 16 20:24 - down  (8+23:18)
jwoodcock  sshd         231-52-77-204.sp Thu Dec  5 17:33 - 17:33  (00:00)
jwoodcock  sshd         231-52-77-204.sp Thu Dec  5 17:31 - 17:33  (00:01)
jwoodcock  dtlocal      :12              Wed Nov 13 07:41 - down  (1+06:39)
jwoodcock  sshd         227-52-77-204.sp Thu Nov  7 18:32 - 18:34  (00:02)
jwoodcock  pts/6        thinclient       Thu Nov  7 18:26 - 19:42  (01:15)
jwoodcock  sshd         thinclient       Thu Nov  7 18:26 - 19:42  (01:15)
jwoodcock  pts/16       thinclient       Thu Nov  7 14:13 - 17:24  (03:10)
jwoodcock  sshd         thinclient       Thu Nov  7 14:13 - 17:24  (03:10)
jwoodcock  pts/32       thinclient       Thu Nov  7 13:29 - 14:13  (00:43)
jwoodcock  sshd         thinclient       Thu Nov  7 13:29 - 14:13  (00:43)
jwoodcock  sshd         231-52-77-204.sp Thu Nov  7 13:11 - 13:12  (00:01)
jwoodcock  sshd         231-52-77-204.sp Thu Nov  7 13:11 - 13:12  (00:01)
jwoodcock  sshd         231-52-77-204.sp Thu Nov  7 13:09 - 13:14  (00:04)
jwoodcock  pts/16       thinclient       Thu Nov  7 13:05 - 13:14  (00:09)
